Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Policarpo 13,@policarpodf,2023-05-08T13:48:26.000Z,False,Todo apoio e solidariedade às professoras/es da rede pública do DF. Essa decisão judicial provocada por Ibaneis para tornar ilegal a greve dos professores é a expressão do autoritarismo de um governo q não respeita e nem prioriza a educação e a população de Brasília (cont...),1,0,5,72,[],[],[],https://pbs.twimg.com/profile_images/1786481030897020928/lbaLgutr_bigger.jpg,https://x.com/policarpodf/status/1655570355413565442,tweet_id:1655570355413565442
Guida,@GuidaCalixtoPT,2023-05-08T13:30:22.000Z,False,"Hoje, às 14h, em Brasília, participo da Audiência pública em Defesa das Educadoras Infantis e primeiríssima infância na Comissão de Educação da Câmara dos Deputados. A atividade é organizada pelo movimento Somos Todas Professoras e pelo mandato da dep  fed. Luciene Cavalcante.",0,1,5,53,[],[],[],https://pbs.twimg.com/profile_images/1824286090926153728/Za-pnI1M_bigger.jpg,https://x.com/GuidaCalixtoPT/status/1655565808892801027,tweet_id:1655565808892801027
Milton Gonçalves,@EdiBrasili,2023-05-04T21:43:07.000Z,False,Professores creem que educação pública vai piorar nos próximos 10 anos https://edibrasilia.com.br/educacao/professores-creem-que-educacao-publica-vai-piorar-nos-proximos-10-anos/… via  É di Brasília,0,0,0,0,[],['@Portal'],[],https://pbs.twimg.com/profile_images/1382221797278507009/swa1Rpzj_bigger.jpg,https://x.com/EdiBrasili/status/1654240263529803776,tweet_id:1654240263529803776
Agência Brasília,@AgenciaBrasilia,2023-05-04T14:20:00.000Z,False,"Aluno da rede pública conquista bolsa para estudar no exterior. Jovem, de 17 anos, formou-se no ensino médio em uma escola de educação bilíngue de Taguatinga. Confira: https://agenciabrasilia.df.gov.br/2023/05/03/aluno-da-rede-publica-conquista-bolsa-para-estudar-no-exterior/…",0,0,0,212,[],[],[],https://pbs.twimg.com/profile_images/1587505169117347840/sjjvwZ7v_bigger.jpg,https://x.com/AgenciaBrasilia/status/1654128747572871168,tweet_id:1654128747572871168
RENATA SCHUSTER POLI,@SchusterPoli,2023-05-04T01:42:00.000Z,False,Professores creem que educação pública vai piorar nos próximos 10 anos https://ift.tt/9BDFdZe#blogdocafezinho #distritofederal #df #brasilia #brasil #noticias #ultimasnoticias,0,1,0,15,"['#blogdocafezinho', '#distritofederal', '#df', '#brasilia', '#brasil', '#noticias', '#ultimasnoticias']",[],[],https://pbs.twimg.com/profile_images/1566229150939111424/M0mderBk_bigger.jpg,https://x.com/SchusterPoli/status/1653937992380063744,tweet_id:1653937992380063744
Adriana Rocha Veiga,@AdriRochaVeiga,2023-04-29T10:57:37.000Z,False,"Querido Sr. Presidente: essa jabuticabeira da Educação que estamos cuidando aí em Brasília é de qualidade pouco confiável para nossa prédica de "" educação pública, gratuita e de qualidade"". Terra não adubada ou sementes ""chochas"". Conte com a Área Educação das IFES, estamos aqui!",0,0,0,15,[],[],[],https://pbs.twimg.com/profile_images/1124325132074455042/S00w1gYf_bigger.jpg,https://x.com/AdriRochaVeiga/status/1652265875611820032,tweet_id:1652265875611820032
Santa do pau oco,@AudaciaLeo,2023-04-27T00:30:51.000Z,False,"Na cidade de Brasília tem uma escola com esse nome e é pública, é um conceito novo (desde os ano 90) de escola, as crianças vão para essa escola para fazer aulas de música, artes e Educação física.",0,0,0,42,[],[],[],https://pbs.twimg.com/profile_images/1670468087315922944/hVrKrKbu_bigger.jpg,https://x.com/AudaciaLeo/status/1651383372352978944,tweet_id:1651383372352978944
Ministério da Educação | MEC,@min_educacao,2023-04-24T17:30:47.000Z,True," O MEC inicia, nesta segunda (24), às 19h (horário de Brasília), um ciclo de webinários com especialistas e gestores, uma das ações da consulta pública para o ensino médio.  O evento será transmitido pelo canal do MEC no YouTube: http://youtube.com/@ministeriodaeducacao_MEC…",2,10,25,1.9K,[],['http://youtube.com/@ministeriodaeducacao_MEC…'],"['\\U0001f393', '\\U0001f5e3', '\\U0001f4bb']",https://pbs.twimg.com/profile_images/1908182543783841792/TEPaxQ8q_bigger.jpg,https://x.com/min_educacao/status/1650552882217857049,tweet_id:1650552882217857049
Sofia Cavedon,@sofiacavedonPT,2023-04-24T13:00:54.000Z,True," PAULO FREIRE, PRESENTE! Recado do Patrono da Educação Brasileiro no  : Renova Novo Ensino Médio! 

24ª Jornada Nacional em Defesa e Promoção da Educação Pública da  em Brasília começa bem!   ",1,2,7,198,[],"['@min_', '@CNTE_oficial', '@uneoficial', '@ubesoficial', '@MidiaNINJA']",['\\U0001f4e2'],https://pbs.twimg.com/profile_images/1809703060983406592/2dhO0HLW_bigger.jpg,https://x.com/sofiacavedonPT/status/1650484965186891780,tweet_id:1650484965186891780
Sofia Cavedon,@sofiacavedonPT,2023-04-23T20:43:27.000Z,True," Rumo a Brasília para pautas sobre educação e cultura e sempre é bom reforçar a luta: #RevogaNEM! 

Nesta segunda-feira (24) estaremos junto com a  na 24ª Semana Nacional em Defesa e Promoção da Educação Pública! 

Bora que sempre é tempo de lutar pela educação!",0,2,15,267,['#RevogaNEM'],['@CNTE_oficial'],['\\U0001f4e2'],https://pbs.twimg.com/profile_images/1809703060983406592/2dhO0HLW_bigger.jpg,https://x.com/sofiacavedonPT/status/1650238978832867333,tweet_id:1650238978832867333
Todos Pela Educação,@TodosEducacao,2023-04-20T23:41:48.000Z,False,Encontro Anual #EducaçãoJá 2023: o ministro do STF  esteve no painel de encerramento do evento. Saiba mais sobre este momento que reuniu um grupo diverso em Brasília para um novo senso de urgência para a Educação Básica pública brasileira: https://bit.ly/3MQM4HS,0,0,3,422,['#EducaçãoJá'],['@LRobertoBarroso'],[],https://pbs.twimg.com/profile_images/1900522501643382784/aBcGUXEa_bigger.jpg,https://x.com/TodosEducacao/status/1649196701167636480,tweet_id:1649196701167636480
Todos Pela Educação,@TodosEducacao,2023-04-20T23:41:48.000Z,False,Encontro Anual #EducaçãoJá 2023: o vice-presidente  esteve no painel de encerramento do evento. Saiba mais sobre este momento que reuniu um grupo diverso em Brasília para um novo senso de urgência para a Educação Básica pública brasileira: https://bit.ly/3MQM4HS,1,0,4,478,['#EducaçãoJá'],['@geraldoalckmin'],[],https://pbs.twimg.com/profile_images/1900522501643382784/aBcGUXEa_bigger.jpg,https://x.com/TodosEducacao/status/1649196698005131267,tweet_id:1649196698005131267
